	Rope coordinates on image plane 
	x	y 
-0.0666667	-0.453333
-0.0704762	-0.451429
-0.0685714	-0.451429
-0.0666667	-0.451429
-0.0647619	-0.451429
-0.0628571	-0.451429
-0.072381	-0.449524
-0.0704762	-0.449524
-0.0685714	-0.449524
-0.0666667	-0.449524
-0.0647619	-0.449524
-0.0628571	-0.449524
-0.0609524	-0.449524
-0.072381	-0.447619
-0.0704762	-0.447619
-0.0685714	-0.447619
-0.0666667	-0.447619
-0.0647619	-0.447619
-0.0628571	-0.447619
-0.0609524	-0.447619
-0.072381	-0.445714
-0.0704762	-0.445714
-0.0685714	-0.445714
-0.0666667	-0.445714
-0.0647619	-0.445714
-0.0628571	-0.445714
-0.0609524	-0.445714
-0.072381	-0.44381
-0.0704762	-0.44381
-0.0685714	-0.44381
-0.0666667	-0.44381
-0.0647619	-0.44381
-0.0628571	-0.44381
-0.0609524	-0.44381
-0.0704762	-0.441905
-0.0685714	-0.441905
-0.0666667	-0.441905
-0.0647619	-0.441905
-0.0628571	-0.441905
-0.072381	-0.44
-0.0704762	-0.44
-0.0685714	-0.44
-0.0666667	-0.44
-0.0647619	-0.44
-0.0742857	-0.438095
-0.072381	-0.438095
-0.0704762	-0.438095
-0.0685714	-0.438095
-0.0666667	-0.438095
-0.0647619	-0.438095
-0.0628571	-0.438095
-0.0742857	-0.43619
-0.072381	-0.43619
-0.0704762	-0.43619
-0.0685714	-0.43619
-0.0666667	-0.43619
-0.0647619	-0.43619
-0.0628571	-0.43619
-0.0742857	-0.434286
-0.072381	-0.434286
-0.0704762	-0.434286
-0.0685714	-0.434286
-0.0666667	-0.434286
-0.0647619	-0.434286
-0.0628571	-0.434286
-0.0742857	-0.432381
-0.072381	-0.432381
-0.0704762	-0.432381
-0.0685714	-0.432381
-0.0666667	-0.432381
-0.0647619	-0.432381
-0.0628571	-0.432381
-0.0742857	-0.430476
-0.072381	-0.430476
-0.0704762	-0.430476
-0.0685714	-0.430476
-0.0666667	-0.430476
-0.0647619	-0.430476
-0.0761905	-0.428571
-0.0742857	-0.428571
-0.072381	-0.428571
-0.0704762	-0.428571
-0.0685714	-0.428571
-0.0666667	-0.428571
-0.0647619	-0.428571
-0.0780952	-0.426667
-0.0761905	-0.426667
-0.0742857	-0.426667
-0.072381	-0.426667
-0.0704762	-0.426667
-0.0685714	-0.426667
-0.0666667	-0.426667
-0.0647619	-0.426667
-0.0780952	-0.424762
-0.0761905	-0.424762
-0.0742857	-0.424762
-0.072381	-0.424762
-0.0704762	-0.424762
-0.0685714	-0.424762
-0.0666667	-0.424762
-0.0647619	-0.424762
-0.08	-0.422857
-0.0780952	-0.422857
-0.0761905	-0.422857
-0.0742857	-0.422857
-0.072381	-0.422857
-0.0704762	-0.422857
-0.0685714	-0.422857
-0.0666667	-0.422857
-0.0647619	-0.422857
-0.08	-0.420952
-0.0780952	-0.420952
-0.0761905	-0.420952
-0.0742857	-0.420952
-0.072381	-0.420952
-0.0704762	-0.420952
-0.0685714	-0.420952
-0.0666667	-0.420952
-0.0647619	-0.420952
-0.08	-0.419048
-0.0780952	-0.419048
-0.0761905	-0.419048
-0.0742857	-0.419048
-0.072381	-0.419048
-0.0704762	-0.419048
-0.0685714	-0.419048
-0.0666667	-0.419048
-0.0647619	-0.419048
-0.08	-0.417143
-0.0780952	-0.417143
-0.0761905	-0.417143
-0.0742857	-0.417143
-0.072381	-0.417143
-0.0704762	-0.417143
-0.0685714	-0.417143
-0.0666667	-0.417143
-0.0647619	-0.417143
-0.0819048	-0.415238
-0.08	-0.415238
-0.0780952	-0.415238
-0.0761905	-0.415238
-0.0742857	-0.415238
-0.072381	-0.415238
-0.0704762	-0.415238
-0.0685714	-0.415238
-0.0666667	-0.415238
-0.0647619	-0.415238
-0.0819048	-0.413333
-0.08	-0.413333
-0.0780952	-0.413333
-0.0761905	-0.413333
-0.0742857	-0.413333
-0.072381	-0.413333
-0.0704762	-0.413333
-0.0685714	-0.413333
-0.0666667	-0.413333
-0.0819048	-0.411429
-0.08	-0.411429
-0.0780952	-0.411429
-0.0761905	-0.411429
-0.0742857	-0.411429
-0.072381	-0.411429
-0.0704762	-0.411429
-0.0685714	-0.411429
-0.0838095	-0.409524
-0.0819048	-0.409524
-0.08	-0.409524
-0.0780952	-0.409524
-0.0761905	-0.409524
-0.0742857	-0.409524
-0.072381	-0.409524
-0.0704762	-0.409524
-0.0685714	-0.409524
-0.0857143	-0.407619
-0.0838095	-0.407619
-0.0819048	-0.407619
-0.08	-0.407619
-0.0780952	-0.407619
-0.0761905	-0.407619
-0.0742857	-0.407619
-0.072381	-0.407619
-0.0704762	-0.407619
-0.0685714	-0.407619
-0.0857143	-0.405714
-0.0838095	-0.405714
-0.0819048	-0.405714
-0.08	-0.405714
-0.0780952	-0.405714
-0.0761905	-0.405714
-0.0742857	-0.405714
-0.072381	-0.405714
-0.0704762	-0.405714
-0.0857143	-0.40381
-0.0838095	-0.40381
-0.0819048	-0.40381
-0.08	-0.40381
-0.0780952	-0.40381
-0.0761905	-0.40381
-0.0742857	-0.40381
-0.072381	-0.40381
-0.0838095	-0.401905
-0.0819048	-0.401905
-0.08	-0.401905
-0.0780952	-0.401905
-0.0761905	-0.401905
-0.0742857	-0.401905
-0.072381	-0.401905
-0.0704762	-0.401905
-0.0819048	-0.4
-0.08	-0.4
-0.0780952	-0.4
-0.0761905	-0.4
-0.0742857	-0.4
-0.072381	-0.4
-0.0704762	-0.4
-0.0685714	-0.4
-0.0838095	-0.401905
-0.0819048	-0.401905
-0.08	-0.401905
-0.0780952	-0.401905
-0.0761905	-0.401905
-0.0742857	-0.401905
-0.072381	-0.401905
-0.0704762	-0.401905
-0.0819048	-0.4
-0.08	-0.4
-0.0780952	-0.4
-0.0761905	-0.4
-0.0742857	-0.4
-0.072381	-0.4
-0.0704762	-0.4
-0.0685714	-0.4
-0.0819048	-0.398095
-0.08	-0.398095
-0.0780952	-0.398095
-0.0761905	-0.398095
-0.0742857	-0.398095
-0.072381	-0.398095
-0.0704762	-0.398095
-0.0685714	-0.398095
-0.0838095	-0.39619
-0.0819048	-0.39619
-0.08	-0.39619
-0.0780952	-0.39619
-0.0761905	-0.39619
-0.0742857	-0.39619
-0.072381	-0.39619
-0.0704762	-0.39619
-0.0685714	-0.39619
-0.0838095	-0.394286
-0.0819048	-0.394286
-0.08	-0.394286
-0.0780952	-0.394286
-0.0761905	-0.394286
-0.0742857	-0.394286
-0.072381	-0.394286
-0.0704762	-0.394286
-0.0838095	-0.392381
-0.0819048	-0.392381
-0.08	-0.392381
-0.0780952	-0.392381
-0.0761905	-0.392381
-0.0742857	-0.392381
-0.072381	-0.392381
-0.0819048	-0.390476
-0.08	-0.390476
-0.0780952	-0.390476
-0.0761905	-0.390476
-0.0742857	-0.390476
-0.08	-0.388571
-0.0780952	-0.388571
-0.0838095	-0.386667
-0.0819048	-0.386667
-0.08	-0.386667
-0.0780952	-0.386667
-0.0761905	-0.386667
-0.0857143	-0.384762
-0.0838095	-0.384762
-0.0819048	-0.384762
-0.08	-0.384762
-0.0780952	-0.384762
-0.0761905	-0.384762
-0.0742857	-0.384762
-0.0857143	-0.382857
-0.0838095	-0.382857
-0.0819048	-0.382857
-0.08	-0.382857
-0.0780952	-0.382857
-0.0761905	-0.382857
-0.0742857	-0.382857
-0.0857143	-0.380952
-0.0838095	-0.380952
-0.0819048	-0.380952
-0.08	-0.380952
-0.0780952	-0.380952
-0.0761905	-0.380952
-0.0742857	-0.380952
-0.0838095	-0.379048
-0.0819048	-0.379048
-0.08	-0.379048
-0.0780952	-0.379048
-0.0761905	-0.379048
-0.0819048	-0.377143
-0.08	-0.377143
-0.0895238	-0.375238
-0.0857143	-0.375238
-0.0838095	-0.375238
-0.0819048	-0.375238
-0.08	-0.375238
-0.0780952	-0.375238
-0.0933333	-0.373333
-0.0914286	-0.373333
-0.0895238	-0.373333
-0.087619	-0.373333
-0.0857143	-0.373333
-0.0838095	-0.373333
-0.0819048	-0.373333
-0.08	-0.373333
-0.0780952	-0.373333
-0.0761905	-0.373333
-0.0952381	-0.371429
-0.0933333	-0.371429
-0.0914286	-0.371429
-0.0895238	-0.371429
-0.087619	-0.371429
-0.0857143	-0.371429
-0.0838095	-0.371429
-0.0819048	-0.371429
-0.08	-0.371429
-0.0780952	-0.371429
-0.0761905	-0.371429
-0.0971429	-0.369524
-0.0952381	-0.369524
-0.0933333	-0.369524
-0.0914286	-0.369524
-0.0895238	-0.369524
-0.087619	-0.369524
-0.0857143	-0.369524
-0.0838095	-0.369524
-0.0819048	-0.369524
-0.08	-0.369524
-0.0780952	-0.369524
-0.0761905	-0.369524
-0.0971429	-0.367619
-0.0952381	-0.367619
-0.0933333	-0.367619
-0.0914286	-0.367619
-0.0895238	-0.367619
-0.087619	-0.367619
-0.0857143	-0.367619
-0.0838095	-0.367619
-0.0819048	-0.367619
-0.08	-0.367619
-0.0780952	-0.367619
-0.0971429	-0.365714
-0.0952381	-0.365714
-0.0933333	-0.365714
-0.0914286	-0.365714
-0.0895238	-0.365714
-0.087619	-0.365714
-0.0857143	-0.365714
-0.0819048	-0.365714
-0.0952381	-0.36381
-0.0933333	-0.36381
-0.0914286	-0.36381
-0.0895238	-0.36381
-0.087619	-0.36381
-0.0933333	-0.361905
-0.0914286	-0.361905
-0.0895238	-0.361905
-0.087619	-0.361905
-0.0857143	-0.361905
-0.0952381	-0.36
-0.0933333	-0.36
-0.0914286	-0.36
-0.0895238	-0.36
-0.087619	-0.36
-0.0857143	-0.36
-0.0838095	-0.36
-0.0952381	-0.358095
-0.0933333	-0.358095
-0.0914286	-0.358095
-0.0895238	-0.358095
-0.087619	-0.358095
-0.0857143	-0.358095
-0.0838095	-0.358095
-0.0952381	-0.35619
-0.0933333	-0.35619
-0.0914286	-0.35619
-0.0895238	-0.35619
-0.087619	-0.35619
-0.0857143	-0.35619
-0.0838095	-0.35619
-0.0933333	-0.354286
-0.0914286	-0.354286
-0.0895238	-0.354286
-0.087619	-0.354286
-0.0857143	-0.354286
-0.0895238	-0.352381
-0.0952381	-0.358095
-0.0933333	-0.358095
-0.0914286	-0.358095
-0.0895238	-0.358095
-0.087619	-0.358095
-0.0857143	-0.358095
-0.0838095	-0.358095
-0.0952381	-0.35619
-0.0933333	-0.35619
-0.0914286	-0.35619
-0.0895238	-0.35619
-0.087619	-0.35619
-0.0857143	-0.35619
-0.0838095	-0.35619
-0.0933333	-0.354286
-0.0914286	-0.354286
-0.0895238	-0.354286
-0.087619	-0.354286
-0.0857143	-0.354286
-0.0895238	-0.352381
-0.0971429	-0.339048
-0.100952	-0.337143
-0.0990476	-0.337143
-0.0971429	-0.337143
-0.0952381	-0.337143
-0.0933333	-0.337143
-0.102857	-0.335238
-0.100952	-0.335238
-0.0990476	-0.335238
-0.0971429	-0.335238
-0.0952381	-0.335238
-0.0933333	-0.335238
-0.0914286	-0.335238
-0.104762	-0.333333
-0.102857	-0.333333
-0.100952	-0.333333
-0.0990476	-0.333333
-0.0971429	-0.333333
-0.0952381	-0.333333
-0.0933333	-0.333333
-0.0914286	-0.333333
-0.106667	-0.331429
-0.104762	-0.331429
-0.102857	-0.331429
-0.100952	-0.331429
-0.0990476	-0.331429
-0.0971429	-0.331429
-0.0952381	-0.331429
-0.0933333	-0.331429
-0.0914286	-0.331429
-0.106667	-0.329524
-0.104762	-0.329524
-0.102857	-0.329524
-0.100952	-0.329524
-0.0990476	-0.329524
-0.0971429	-0.329524
-0.0952381	-0.329524
-0.0933333	-0.329524
-0.0914286	-0.329524
-0.108571	-0.327619
-0.106667	-0.327619
-0.104762	-0.327619
-0.102857	-0.327619
-0.100952	-0.327619
-0.0990476	-0.327619
-0.0971429	-0.327619
-0.0952381	-0.327619
-0.0933333	-0.327619
-0.0914286	-0.327619
-0.108571	-0.325714
-0.106667	-0.325714
-0.104762	-0.325714
-0.102857	-0.325714
-0.100952	-0.325714
-0.0990476	-0.325714
-0.0971429	-0.325714
-0.0952381	-0.325714
-0.0933333	-0.325714
-0.0914286	-0.325714
-0.108571	-0.32381
-0.106667	-0.32381
-0.104762	-0.32381
-0.102857	-0.32381
-0.100952	-0.32381
-0.0990476	-0.32381
-0.0971429	-0.32381
-0.0952381	-0.32381
-0.0933333	-0.32381
-0.108571	-0.321905
-0.106667	-0.321905
-0.104762	-0.321905
-0.102857	-0.321905
-0.100952	-0.321905
-0.0990476	-0.321905
-0.0971429	-0.321905
-0.108571	-0.32
-0.106667	-0.32
-0.104762	-0.32
-0.102857	-0.32
-0.100952	-0.32
-0.0990476	-0.32
-0.0971429	-0.32
-0.106667	-0.318095
-0.104762	-0.318095
-0.102857	-0.318095
-0.100952	-0.318095
-0.0990476	-0.318095
-0.102857	-0.31619
-0.106667	-0.310476
-0.110476	-0.308571
-0.108571	-0.308571
-0.106667	-0.308571
-0.104762	-0.308571
-0.102857	-0.308571
-0.112381	-0.306667
-0.110476	-0.306667
-0.108571	-0.306667
-0.106667	-0.306667
-0.104762	-0.306667
-0.102857	-0.306667
-0.100952	-0.306667
-0.112381	-0.304762
-0.110476	-0.304762
-0.108571	-0.304762
-0.106667	-0.304762
-0.104762	-0.304762
-0.102857	-0.304762
-0.100952	-0.304762
-0.0990476	-0.304762
-0.112381	-0.302857
-0.110476	-0.302857
-0.108571	-0.302857
-0.106667	-0.302857
-0.104762	-0.302857
-0.102857	-0.302857
-0.100952	-0.302857
-0.0990476	-0.302857
-0.112381	-0.302857
-0.110476	-0.302857
-0.108571	-0.302857
-0.106667	-0.302857
-0.104762	-0.302857
-0.102857	-0.302857
-0.100952	-0.302857
-0.0990476	-0.302857
-0.110476	-0.300952
-0.108571	-0.300952
-0.106667	-0.300952
-0.104762	-0.300952
-0.102857	-0.300952
-0.100952	-0.300952
-0.0990476	-0.300952
-0.110476	-0.299048
-0.108571	-0.299048
-0.106667	-0.299048
-0.104762	-0.299048
-0.102857	-0.299048
-0.100952	-0.299048
-0.0990476	-0.299048
-0.112381	-0.297143
-0.110476	-0.297143
-0.108571	-0.297143
-0.106667	-0.297143
-0.104762	-0.297143
-0.102857	-0.297143
-0.100952	-0.297143
-0.0990476	-0.297143
-0.11619	-0.295238
-0.114286	-0.295238
-0.112381	-0.295238
-0.110476	-0.295238
-0.108571	-0.295238
-0.106667	-0.295238
-0.104762	-0.295238
-0.102857	-0.295238
-0.100952	-0.295238
-0.0990476	-0.295238
-0.118095	-0.293333
-0.11619	-0.293333
-0.114286	-0.293333
-0.112381	-0.293333
-0.110476	-0.293333
-0.108571	-0.293333
-0.106667	-0.293333
-0.104762	-0.293333
-0.102857	-0.293333
-0.100952	-0.293333
-0.0990476	-0.293333
-0.118095	-0.291429
-0.11619	-0.291429
-0.114286	-0.291429
-0.112381	-0.291429
-0.110476	-0.291429
-0.108571	-0.291429
-0.106667	-0.291429
-0.104762	-0.291429
-0.102857	-0.291429
-0.100952	-0.291429
-0.12	-0.289524
-0.118095	-0.289524
-0.11619	-0.289524
-0.114286	-0.289524
-0.112381	-0.289524
-0.110476	-0.289524
-0.108571	-0.289524
-0.106667	-0.289524
-0.104762	-0.289524
-0.12	-0.287619
-0.118095	-0.287619
-0.11619	-0.287619
-0.114286	-0.287619
-0.112381	-0.287619
-0.110476	-0.287619
-0.108571	-0.287619
-0.106667	-0.287619
-0.12	-0.285714
-0.118095	-0.285714
-0.11619	-0.285714
-0.114286	-0.285714
-0.112381	-0.285714
-0.110476	-0.285714
-0.108571	-0.285714
-0.106667	-0.285714
